"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31722","create_BTPU(busy team preimary user role: admin):","Admin_as_admin","2026-02-25","broken","2026-02-25","","Admin_as_admin\Access_and_create_BTPU.spec.js","",""
"","14480","create_permisison_busy_team: By admin login","Admin_as_admin","2026-02-25","passed","2026-02-25","","Admin_as_admin\create_permisison_busy_team.spec.js","",""
"","17630","Assign_or_update_permission_to_a_role: By admin login","Admin_as_admin","2026-02-25","passed","2026-02-25","","Admin_as_admin\Assign_or_update_permission_to_a_role.spec.js","",""
"","12095","create_new_busy_team: By admin login","Admin_as_admin","2026-02-25","passed","2026-02-25","","Admin_as_admin\create_busy_team.spec.js","",""
"","30816","test","Admin_as_admin","2026-02-25","broken","2026-02-25","","Admin_as_admin\enable_disable_busy_team.spec.js","",""
"","9230","update_permission: By admin login","Admin_as_admin","2026-02-25","passed","2026-02-25","","Admin_as_admin\update_permission.spec.js","",""
"","10389","create_role_dynamically: by Admin login","Admin_as_admin","2026-02-25","passed","2026-02-25","","Admin_as_admin\create_role_dynamically.spec.js","",""
"","11584","create_new_busy_team: By admin login","Admin_as_admin","2026-02-25","passed","2026-02-25","","Admin_as_admin\Update_Busy_team.spec.js","",""
